# Dowland Corpus — Period-Accurate Chord Voicings

*Source: 113 Poulton-numbered Dowland lute tablatures from lutemusic.org (CC BY-NC-SA 4.0)*
*Only chords with root + 3rd + 5th (+ 7th where applicable) are shown. Partial voicings excluded.*
*Voicings shown use the maximum number of strings found in the corpus.*
*Tab fingering: bass course on left → treble (course 1) on right. '-' = string not played.*
*Frets: same layout as Tab, but showing fret numbers (0 = open string).*
*Crs: total course slots in the fingering (6 = 6-course lute, 8 = 8-course lute).*

## Major

| Root | Str | Crs | Tab Fingering   | Frets           | Pitches                        | Appears In                                                                                                       |
| Root | Str | Crs | Tab Fingering   | Frets           | Pitches                  | Appears In                |
|------|-----|-----|-----------------|-----------------|--------------------------|---------------------------|
| D#   | 4   | 8   | e - - a c - - g | 4 - - 0 2 - - 6 | D#2, A2, E3, A#4         | King Of Denmarks Galliard |
| E    | 4   | 8   | - a - - c b a - | - 0 - - 2 1 0 - | D2, E3, G3, B3           | P.18 Pavan                |
| E    | 4   | 8   | - a - - f - f h | - 0 - - 5 - 5 7 | D2, G3, E4, B4           | P.18 Pavan; P.71 Fantasy  |
| F#   | 4   | 8   | - - c - c - c f | - - 2 - 2 - 2 5 | F#2, E3, C#4, A4         | P.34 Mignarda Galliard    |
| B    | 6   | 8   | - c c a d - d c | - 2 2 0 3 - 3 2 | E2, F#2, A2, F3, D4, F#4 | King Of Denmarks Galliard |
| B    | 5   | 8   | - - a c d - d f | - - 0 2 3 - 3 5 | E2, B2, F3, D4, A4       | King Of Denmarks Galliard |

## Diminished 7th

| Root | Str | Crs | Tab Fingering   | Frets           | Pitches               | Appears In                |
|------|-----|-----|-----------------|-----------------|-----------------------|---------------------------|
| D    | 5   | 8   | h - a c e - - g | 7 - 0 2 4 - - 6 | F#2, E2, B2, F#3, A#4 | King Of Denmarks Galliard |

## Diminished (triad)

| Root | Str | Crs | Tab Fingering   | Frets           | Pitches              | Appears In                                                                   |
|------|-----|-----|-----------------|-----------------|----------------------|------------------------------------------------------------------------------|
| C    | 3   | 8   | - b - - - a b - | - 1 - - - 0 1 - | D#2, F#3, C4         | P.03 Farewell Fancy                                                          |
| C#   | 4   | 8   | - - a - c - c d | - - 0 - 2 - 2 3 | E2, E3, C#4, G4      | P.09 Semper Dowland Semper Dolens                                            |
| C#   | 4   | 8   | - - a - c b c - | - - 0 - 2 1 2 - | E2, E3, G3, C#4      | P.71 Fantasy                                                                 |
| D#   | 4   | 8   | - - c - - d e c | - - 2 - - 3 4 2 | F#2, A3, D#4, F#4    | P.01 A Fancy; P.74 A Fancy                                                   |
| D#   | 3   | 8   | - b - - e d - - | - 1 - - 4 3 - - | D#2, F#3, A3         | P.03 Farewell Fancy                                                          |
| E    | 4   | 8   | - - d - f e f - | - - 3 - 5 4 5 - | G2, G3, A#3, E4      | P.25 Melancholy Galliard                                                     |
| F    | 3   | 8   | - - - - - c a b | - - - - - 2 0 1 | G#3, B3, F4          | P.14a Langton Pavane P                                                       |
| F    | 3   | 8   | - - e - - - a b | - - 4 - - - 0 1 | G#2, B3, F4          | P.03 Farewell Fancy                                                          |
| F    | 3   | 8   | - - e - d - a - | - - 4 - 3 - 0 - | G#2, F3, B3          | P.14 John Langtons Pavan; P.14a Langton Pavane P                             |
| F#   | 4   | 8   | - - - a - a b c | - - - 0 - 0 1 2 | A2, F#3, C4, F#4     | P.16 Pavan                                                                   |
| F#   | 4   | 8   | - - - a - d b c | - - - 0 - 3 1 2 | A2, A3, C4, F#4      | P.08 Dowland Pipers Pavan; P.16 Pavan; P.19b Piper Galliard 2; P.30 Galliard |
| G#   | 5   | 8   | d - - a - c c f | 3 - - 0 - 2 2 5 | D2, A2, G#3, C#4, A4 | King Of Denmarks Galliard                                                    |
| G#   | 4   | 8   | - - - c - f d e | - - - 2 - 5 3 4 | B2, B3, D4, G#4      | P.15a Lachrimae In A; P.33 John Langtons Galliard                            |
| A#   | 4   | 8   | - - - - a e c a | - - - - 0 4 2 0 | D3, A#3, C#4, E4     | King Of Denmarks Galliard                                                    |
| B    | 3   | 8   | - - - - a - a b | - - - - 0 - 0 1 | D3, B3, F4           | P.78 Untitled                                                                |

## Half-Diminished 7th

| Root | Str | Crs | Tab Fingering   | Frets           | Pitches                 | Appears In                |
|------|-----|-----|-----------------|-----------------|-------------------------|---------------------------|
| C#   | 6   | 8   | a c d a - - c a | 0 2 3 0 - - 2 0 | B1, E2, G2, A2, C#4, E4 | King Of Denmarks Galliard |
| C#   | 5   | 8   | - - c - d f c a | - - 2 - 3 5 2 0 | F#2, F3, B3, C#4, E4    | King Of Denmarks Galliard |
| F#   | 4   | 8   | - - - d c d - c | - - - 3 2 3 - 2 | C3, E3, A3, F#4         | P.72 A Fancy              |
| F#   | 4   | 8   | - - - d e d - a | - - - 3 4 3 - 0 | C3, F#3, A3, E4         | P.71 Fantasy              |

## Major 7th

| Root | Str | Crs | Tab Fingering   | Frets           | Pitches                            | Appears In                |
|------|-----|-----|-----------------|-----------------|------------------------------------|---------------------------|
| C    | 5   | 8   | a - - a - a c a | 0 - - 0 - 0 2 0 | B1, A2, F#3, C#4, E4               | King Of Denmarks Galliard |
| D    | 8   | 8   | c a g h h a a c | 2 0 6 7 7 0 0 2 | C#2, D2, A#2, E3, A3, F#3, B3, F#4 | King Of Denmarks Galliard |
| D    | 5   | 8   | - - a a f - c f | - - 0 0 5 - 2 5 | E2, A2, G3, C#4, A4                | King Of Denmarks Galliard |
| G    | 5   | 8   | - f - f a f - f | - 5 - 5 0 5 - 5 | G2, D3, D3, B3, A4                 | King Of Denmarks Galliard |
